           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";112319;"SUMATERA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";128099;RIAU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";100071;JAMBI
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";99621;"SUMATERA SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";117725;BENGKULU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";101073;LAMPUNG
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";173633;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";181902;"KEP. RIAU"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";198949;"DKI JAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";101223;"JAWA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";93582;"JAWA TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";117272;"DI YOGYAKARTA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";96225;"JAWA TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";122153;BANTEN
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";118604;BALI
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";90777;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";75987;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";87805;"KALIMANTAN BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";85401;"KALIMANTAN TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";124920;"KALIMANTAN SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";169596;"KALIMANTAN TIMUR"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";162252;"KALIMANTAN UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";79322;"SULAWESI UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";100595;"SULAWESI TENGAH"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";77256;"SULAWESI SELATAN"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";76729;"SULAWESI TENGGARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";70788;GORONTALO
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";69333;"SULAWESI BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";108357;MALUKU
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";88628;"MALUKU UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";117927;"PAPUA BARAT"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";124711;PAPUA
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";106414;INDONESIA
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";104496;ACEH
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";97102;"SUMATERA UTARA"
"Garis Kemiskinan Non-Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2017;"Semester 1 (Maret)";106715;"SUMATERA BARAT"
