           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";340782;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";346454;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";325590;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";429165;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";478280;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";286215;"SULAWESI UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";336739;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";247704;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";245761;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";258158;GORONTALO
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";254518;"SULAWESI BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";385303;MALUKU
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";346075;"MALUKU UTARA"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";441803;"PAPUA BARAT"
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";404631;PAPUA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2019;"Semester 1 (Maret)";313232;INDONESIA
"Garis Kemiskinan Makanan (Rupiah/Kapita/Bulan) Menurut Provinsi dan Daerah";Perkotaan+Perdesaan;2018;"Semester 1 (Maret)";353291;ACEH
